"X_ID","Company_Name","Description","Company_Focus","Industry","Company_Address","Valuation","City","Country","State","Company_Reg_No_","Founded_Date","Operational_Status","Company_Size","Ownership","Funding_Round","Investment","Investment_Date","Investor_Company","Funding_Money"
"48","CyberWave Solutions","CyberWave Solutions offers comprehensive IT and cybersecurity services, protecting businesses from digital threats.","B2B","Technology & Innovation","Jalan Kolam Air 05675 Alor Setar Kedah Darul Aman","6000000","Alor Setar","Malaysia","Kedah","87584X","12/13/2021","Operational","11-50","Crowdfunded","Early","Series A","12/31/2021","Nova Horizons"," $ 53,000,000,000,000.00 "
"48","CyberWave Solutions","CyberWave Solutions offers comprehensive IT and cybersecurity services, protecting businesses from digital threats.","B2B","Technology & Innovation","Jalan Kolam Air 05675 Alor Setar Kedah Darul Aman","6000000","Alor Setar","Malaysia","Kedah","87584X","12/13/2021","Operational","11-50","Crowdfunded","Early","Series A","7/30/2022","Infinite Nest"," $ 29,000,000,000,000.00 "
"48","CyberWave Solutions","CyberWave Solutions offers comprehensive IT and cybersecurity services, protecting businesses from digital threats.","B2B","Technology & Innovation","Jalan Kolam Air 05675 Alor Setar Kedah Darul Aman","6000000","Alor Setar","Malaysia","Kedah","87584X","12/13/2021","Operational","11-50","Crowdfunded","Early","Series A","11/4/2022","Catalyst Ventures"," $ 37,000,000,000,000.00 "
"56","Daya Logistics","Daya Logistics delivers innovative financial solutions designed to empower businesses and individuals in Malaysia.","Others","Financial Services","150 Jalan Tun Abdul Razak","94000000","Kuala Lumpur","Malaysia","Kuala Lumpur","33193A","5/17/2022","Operational","11-50","Venture Capital","Late","Series B","4/17/2023","Nex Crest"," $ 61,000,000,000,000.00 "
"56","Daya Logistics","Daya Logistics delivers innovative financial solutions designed to empower businesses and individuals in Malaysia.","Others","Financial Services","150 Jalan Tun Abdul Razak","94000000","Kuala Lumpur","Malaysia","Kuala Lumpur","33193A","5/17/2022","Operational","11-50","Venture Capital","Late","Series B","10/28/2023","Pioneer Ventures"," $ 42,000,000,000,000.00 "
"46","EcoFusion Energy","EcoFusion Energy develops innovative fusion energy technologies, aiming to provide a limitless and clean energy source.","Others","Sustainability & Environment","Jalan Conlay, 50450 Kuala Lumpur, Malaysia ","87000000","Kuala Lumpur","Malaysia","Wilayah Persekutuan","81502Y","3/21/2022","Operational","2-10","Crowdfunded","Early","Series A","4/25/2022","Catalyst Ventures"," $ 54,000,000,000,000.00 "
"46","EcoFusion Energy","EcoFusion Energy develops innovative fusion energy technologies, aiming to provide a limitless and clean energy source.","Others","Sustainability & Environment","Jalan Conlay, 50450 Kuala Lumpur, Malaysia ","87000000","Kuala Lumpur","Malaysia","Wilayah Persekutuan","81502Y","3/21/2022","Operational","2-10","Crowdfunded","Early","Series A","7/14/2023","Arc Forge"," $ 42,000,000,000,000.00 "
"46","EcoFusion Energy","EcoFusion Energy develops innovative fusion energy technologies, aiming to provide a limitless and clean energy source.","Others","Sustainability & Environment","Jalan Conlay, 50450 Kuala Lumpur, Malaysia ","87000000","Kuala Lumpur","Malaysia","Wilayah Persekutuan","81502Y","3/21/2022","Operational","2-10","Crowdfunded","Early","Series A","1/6/2023","Pioneer Forge"," $ 55,000,000,000,000.00 "
"32","EcoHarvest Farms","EcoHarvest Farms operates large-scale organic farms, supplying fresh and sustainable produce to markets.","B2C","Sustainability & Environment","Jalan Parameswara, Bandar Hilir, 78000 Alor Gajah, Malacca, Malaysia","25000000","Malacca City","Malaysia","Malacca","87008I","6/11/2020","Operational","11-50","Crowdfunded","Early","Seed","7/4/2022","Pioneer Ventures"," $ 62,000,000,000,000.00 "
"32","EcoHarvest Farms","EcoHarvest Farms operates large-scale organic farms, supplying fresh and sustainable produce to markets.","B2C","Sustainability & Environment","Jalan Parameswara, Bandar Hilir, 78000 Alor Gajah, Malacca, Malaysia","25000000","Malacca City","Malaysia","Malacca","87008I","6/11/2020","Operational","11-50","Crowdfunded","Early","Seed","12/4/2023","Nova Ventures"," $ 46,000,000,000,000.00 "
"32","EcoHarvest Farms","EcoHarvest Farms operates large-scale organic farms, supplying fresh and sustainable produce to markets.","B2C","Sustainability & Environment","Jalan Parameswara, Bandar Hilir, 78000 Alor Gajah, Malacca, Malaysia","25000000","Malacca City","Malaysia","Malacca","87008I","6/11/2020","Operational","11-50","Crowdfunded","Early","Seed","3/31/2022","Catalyst Ventures"," $ 29,000,000,000,000.00 "
"8","EcoWave Solutions","EcoWave Solutions provides innovative marine energy systems, harnessing the power of ocean waves to generate clean electricity.","Others","Sustainability & Environment","Jalan Parameswara, Bandar Hilir, 78000 Alor Gajah, Malacca, Malaysia","12000000","Malacca City","Malaysia","Malacca","75160K","6/17/2020","Operational","2-10","Venture Capital","Mid","Seed","12/29/2023","Arc Junction"," $ 51,000,000,000,000.00 "
"8","EcoWave Solutions","EcoWave Solutions provides innovative marine energy systems, harnessing the power of ocean waves to generate clean electricity.","Others","Sustainability & Environment","Jalan Parameswara, Bandar Hilir, 78000 Alor Gajah, Malacca, Malaysia","12000000","Malacca City","Malaysia","Malacca","75160K","6/17/2020","Operational","2-10","Venture Capital","Mid","Seed","9/1/2020","Catalyst Crest"," $ 32,000,000,000,000.00 "
"8","EcoWave Solutions","EcoWave Solutions provides innovative marine energy systems, harnessing the power of ocean waves to generate clean electricity.","Others","Sustainability & Environment","Jalan Parameswara, Bandar Hilir, 78000 Alor Gajah, Malacca, Malaysia","12000000","Malacca City","Malaysia","Malacca","75160K","6/17/2020","Operational","2-10","Venture Capital","Mid","Seed","8/21/2021","Infinite Crest"," $ 1,000,000,000,000.00 "
"39","EvoGen Pharmaceuticals","EvoGen Pharmaceuticals researches and develops new medications and therapies, improving treatment options for various diseases.","B2B","Healthcare & Education","No 110, Ground Floor, Block 4, Jalan Nelayan 19/5 Seksyen 19, Selangor, Shah Alam","12000000","Shah Alam","Malaysia","Selangor","19639T","2/22/2022","Operational","11-50","Venture Capital","Mid","Seed","8/30/2023","Pioneer Spark"," $ 34,000,000,000,000.00 "
"51","Harmoni Finance","Harmoni Finance is redefining logistics and infrastructure with smart, scalable solutions that drive efficiency.","Others","Logistics & Infrastructure","50 Jalan Sultan Ismail","38000000","Johor","Malaysia","Johor","42605U","11/22/2021","Operational","2-10","Angel","Early","Seed","1/16/2022","Nova Ventures"," $ 79,000,000,000,000.00 "
"51","Harmoni Finance","Harmoni Finance is redefining logistics and infrastructure with smart, scalable solutions that drive efficiency.","Others","Logistics & Infrastructure","50 Jalan Sultan Ismail","38000000","Johor","Malaysia","Johor","42605U","11/22/2021","Operational","2-10","Angel","Early","Seed","2/25/2023","Pioneer Ventures"," $ 10,000,000,000,000.00 "
"51","Harmoni Finance","Harmoni Finance is redefining logistics and infrastructure with smart, scalable solutions that drive efficiency.","Others","Logistics & Infrastructure","50 Jalan Sultan Ismail","38000000","Johor","Malaysia","Johor","42605U","11/22/2021","Operational","2-10","Angel","Early","Seed","8/30/2022","Pioneer Voyage"," $ 69,000,000,000,000.00 "
"76","Harmoni Logistics","Harmoni Logistics leads in cutting-edge technological advancements, offering pioneering solutions to modern problems.","B2C","Technology & Innovation","50 Jalan Sultan Ismail","34000000","Penang","Malaysia","Penang","46716P","1/24/2022","Operational","2-10","Venture Capital","Early","Seed","8/12/2023","Pioneer Horizons"," $ 5,000,000,000,000.00 "
"76","Harmoni Logistics","Harmoni Logistics leads in cutting-edge technological advancements, offering pioneering solutions to modern problems.","B2C","Technology & Innovation","50 Jalan Sultan Ismail","34000000","Penang","Malaysia","Penang","46716P","1/24/2022","Operational","2-10","Venture Capital","Early","Seed","7/19/2023","Catalyst Ventures"," $ 55,000,000,000,000.00 "
"76","Harmoni Logistics","Harmoni Logistics leads in cutting-edge technological advancements, offering pioneering solutions to modern problems.","B2C","Technology & Innovation","50 Jalan Sultan Ismail","34000000","Penang","Malaysia","Penang","46716P","1/24/2022","Operational","2-10","Venture Capital","Early","Seed","3/11/2023","Catalyst Spark"," $ 81,000,000,000,000.00 "
"76","Harmoni Logistics","Harmoni Logistics leads in cutting-edge technological advancements, offering pioneering solutions to modern problems.","B2C","Technology & Innovation","50 Jalan Sultan Ismail","34000000","Penang","Malaysia","Penang","46716P","1/24/2022","Operational","2-10","Venture Capital","Early","Seed","5/10/2023","Astra Horizons"," $ 2,000,000,000,000.00 "
"16","Helix HealthTech","Helix HealthTech develops cutting-edge medical devices and health monitoring systems, improving patient care and outcomes.","B2B","Healthcare & Education","No 110, Ground Floor, Block 4, Jalan Nelayan 19/5 Seksyen 19, Selangor, Shah Alam","97000000","Shah Alam","Malaysia","Selangor","99708J","8/18/2022","Operational","11-50","Crowdfunded","Early","Seed","8/17/2023","Nex Crest"," $ 27,000,000,000,000.00 "
"16","Helix HealthTech","Helix HealthTech develops cutting-edge medical devices and health monitoring systems, improving patient care and outcomes.","B2B","Healthcare & Education","No 110, Ground Floor, Block 4, Jalan Nelayan 19/5 Seksyen 19, Selangor, Shah Alam","97000000","Shah Alam","Malaysia","Selangor","99708J","8/18/2022","Operational","11-50","Crowdfunded","Early","Seed","3/28/2023","Pioneer Horizons"," $ 62,000,000,000,000.00 "
"16","Helix HealthTech","Helix HealthTech develops cutting-edge medical devices and health monitoring systems, improving patient care and outcomes.","B2B","Healthcare & Education","No 110, Ground Floor, Block 4, Jalan Nelayan 19/5 Seksyen 19, Selangor, Shah Alam","97000000","Shah Alam","Malaysia","Selangor","99708J","8/18/2022","Operational","11-50","Crowdfunded","Early","Seed","12/23/2023","Nova Spark"," $ 11,000,000,000,000.00 "
"16","Helix HealthTech","Helix HealthTech develops cutting-edge medical devices and health monitoring systems, improving patient care and outcomes.","B2B","Healthcare & Education","No 110, Ground Floor, Block 4, Jalan Nelayan 19/5 Seksyen 19, Selangor, Shah Alam","97000000","Shah Alam","Malaysia","Selangor","99708J","8/18/2022","Operational","11-50","Crowdfunded","Early","Seed","9/22/2022","Pioneer Ventures"," $ 64,000,000,000,000.00 "
"16","Helix HealthTech","Helix HealthTech develops cutting-edge medical devices and health monitoring systems, improving patient care and outcomes.","B2B","Healthcare & Education","No 110, Ground Floor, Block 4, Jalan Nelayan 19/5 Seksyen 19, Selangor, Shah Alam","97000000","Shah Alam","Malaysia","Selangor","99708J","8/18/2022","Operational","11-50","Crowdfunded","Early","Seed","1/27/2023","Infinite Sphere"," $ 81,000,000,000,000.00 "
"13","Infinite Horizons","Infinite Horizons offers pioneering space tourism experiences, making space travel accessible to the general public.","Others","Other","No 110, Ground Floor, Block 4, Jalan Nelayan 19/5 Seksyen 19, Selangor, Shah Alam","57000000","Shah Alam","Malaysia","Selangor","24182F","3/27/2023","Operational","2-10","Bootstrapped","Mid","Series A","8/20/2023","Nova Ventures"," $ 63,000,000,000,000.00 "
"13","Infinite Horizons","Infinite Horizons offers pioneering space tourism experiences, making space travel accessible to the general public.","Others","Other","No 110, Ground Floor, Block 4, Jalan Nelayan 19/5 Seksyen 19, Selangor, Shah Alam","57000000","Shah Alam","Malaysia","Selangor","24182F","3/27/2023","Operational","2-10","Bootstrapped","Mid","Series A","4/14/2023","Nova Spark"," $ 99,000,000,000,000.00 "
"13","Infinite Horizons","Infinite Horizons offers pioneering space tourism experiences, making space travel accessible to the general public.","Others","Other","No 110, Ground Floor, Block 4, Jalan Nelayan 19/5 Seksyen 19, Selangor, Shah Alam","57000000","Shah Alam","Malaysia","Selangor","24182F","3/27/2023","Operational","2-10","Bootstrapped","Mid","Series A","4/23/2023","Nova Forge"," $ 42,000,000,000,000.00 "
"29","Infinity MedTech","Infinity MedTech creates innovative medical devices and diagnostic tools, enhancing healthcare delivery and patient outcomes.","B2B","Healthcare & Education","Pullman Kuching Interhill Place, No. 1A, Jalan Mathies, 93100 Kuching, Sarawak Malaysia ","100000000","Kuching","Malaysia","Sarawak","82819G","10/17/2021","Operational","2-10","Crowdfunded","Late","Series B","10/7/2023","Catalyst Spark"," $ 13,000,000,000,000.00 "
"29","Infinity MedTech","Infinity MedTech creates innovative medical devices and diagnostic tools, enhancing healthcare delivery and patient outcomes.","B2B","Healthcare & Education","Pullman Kuching Interhill Place, No. 1A, Jalan Mathies, 93100 Kuching, Sarawak Malaysia ","100000000","Kuching","Malaysia","Sarawak","82819G","10/17/2021","Operational","2-10","Crowdfunded","Late","Series B","10/19/2021","Catalyst Crest"," $ 64,000,000,000,000.00 "
"74","Merdeka Education","Merdeka Education leads in cutting-edge technological advancements, offering pioneering solutions to modern problems.","B2B","Technology & Innovation","200 Jalan KK Bypass","83000000","Selangor","Malaysia","Selangor","54195F","12/18/2022","Operational","11-50","Venture Capital","Early","Seed","1/10/2023","Nova Ventures"," $ 57,000,000,000,000.00 "
"74","Merdeka Education","Merdeka Education leads in cutting-edge technological advancements, offering pioneering solutions to modern problems.","B2B","Technology & Innovation","200 Jalan KK Bypass","83000000","Selangor","Malaysia","Selangor","54195F","12/18/2022","Operational","11-50","Venture Capital","Early","Seed","4/27/2023","Pioneer Forge"," $ 94,000,000,000,000.00 "
"59","Merdeka Energy","Merdeka Energy combines healthcare and educational innovations to enhance the well-being and knowledge of Malaysians.","B2C","Healthcare & Education","100 Persiaran Gurney","48000000","Penang","Malaysia","Penang","92948B","1/22/2022","Operational","11-50","Crowdfunded","Early","Seed","2/27/2022","Infinite Crest"," $ 31,000,000,000,000.00 "
"59","Merdeka Energy","Merdeka Energy combines healthcare and educational innovations to enhance the well-being and knowledge of Malaysians.","B2C","Healthcare & Education","100 Persiaran Gurney","48000000","Penang","Malaysia","Penang","92948B","1/22/2022","Operational","11-50","Crowdfunded","Early","Seed","4/14/2023","Nex Crest"," $ 51,000,000,000,000.00 "
"33","NeoGen Labs","NeoGen Labs conducts advanced genetic research, developing therapies and solutions for genetic disorders.","Others","Healthcare & Education"," Lorong Pandan. Damai 2/1, Taman Pandan. Damai (TAS) 25150 Kuantan","91000000","Kuantan","Malaysia","Pahang","53041G","1/16/2020","Operational","2-10","Public","Late","Series A","11/21/2021","Nova Forge"," $ 98,000,000,000,000.00 "
"33","NeoGen Labs","NeoGen Labs conducts advanced genetic research, developing therapies and solutions for genetic disorders.","Others","Healthcare & Education"," Lorong Pandan. Damai 2/1, Taman Pandan. Damai (TAS) 25150 Kuantan","91000000","Kuantan","Malaysia","Pahang","53041G","1/16/2020","Operational","2-10","Public","Late","Series A","12/17/2022","Catalyst Crest"," $ 17,000,000,000,000.00 "
"33","NeoGen Labs","NeoGen Labs conducts advanced genetic research, developing therapies and solutions for genetic disorders.","Others","Healthcare & Education"," Lorong Pandan. Damai 2/1, Taman Pandan. Damai (TAS) 25150 Kuantan","91000000","Kuantan","Malaysia","Pahang","53041G","1/16/2020","Operational","2-10","Public","Late","Series A","8/4/2020","Vista Forge"," $ 73,000,000,000,000.00 "
"50","NextEra Robotics","NextEra Robotics develops next-generation robotics and AI solutions, transforming industries with intelligent automation.","B2B","Technology & Innovation","Jalan Parameswara, Bandar Hilir, 78000 Alor Gajah, Malacca, Malaysia","4000000","Malacca City","Malaysia","Malacca","80562K","4/11/2023","Operational","2-10","Bootstrapped","Early","Seed","6/14/2023","Infinite Sphere"," $ 50,000,000,000,000.00 "
"50","NextEra Robotics","NextEra Robotics develops next-generation robotics and AI solutions, transforming industries with intelligent automation.","B2B","Technology & Innovation","Jalan Parameswara, Bandar Hilir, 78000 Alor Gajah, Malacca, Malaysia","4000000","Malacca City","Malaysia","Malacca","80562K","4/11/2023","Operational","2-10","Bootstrapped","Early","Seed","7/6/2023","Catalyst Spark"," $ 73,000,000,000,000.00 "
"5","NextGen Biotech","NextGen Biotech pioneers in genetic research and biotechnology, creating innovative solutions for healthcare and agriculture.","Others","Technology & Innovation","Jalan Parameswara, Bandar Hilir, 78000 Alor Gajah, Malacca, Malaysia
","80000000","Malacca City","Malaysia","Malacca","78292X","4/2/2022","Operational","11-50","Crowdfunded","Early","Series A","4/10/2022","Infinite Sphere"," $ 62,000,000,000,000.00 "
"5","NextGen Biotech","NextGen Biotech pioneers in genetic research and biotechnology, creating innovative solutions for healthcare and agriculture.","Others","Technology & Innovation","Jalan Parameswara, Bandar Hilir, 78000 Alor Gajah, Malacca, Malaysia
","80000000","Malacca City","Malaysia","Malacca","78292X","4/2/2022","Operational","11-50","Crowdfunded","Early","Series A","1/5/2023","Catalyst Forge"," $ 59,000,000,000,000.00 "
"5","NextGen Biotech","NextGen Biotech pioneers in genetic research and biotechnology, creating innovative solutions for healthcare and agriculture.","Others","Technology & Innovation","Jalan Parameswara, Bandar Hilir, 78000 Alor Gajah, Malacca, Malaysia
","80000000","Malacca City","Malaysia","Malacca","78292X","4/2/2022","Operational","11-50","Crowdfunded","Early","Series A","9/29/2022","Astra Horizons"," $ 58,000,000,000,000.00 "
"5","NextGen Biotech","NextGen Biotech pioneers in genetic research and biotechnology, creating innovative solutions for healthcare and agriculture.","Others","Technology & Innovation","Jalan Parameswara, Bandar Hilir, 78000 Alor Gajah, Malacca, Malaysia
","80000000","Malacca City","Malaysia","Malacca","78292X","4/2/2022","Operational","11-50","Crowdfunded","Early","Series A","3/11/2023","Infinite Sphere"," $ 86,000,000,000,000.00 "
"5","NextGen Biotech","NextGen Biotech pioneers in genetic research and biotechnology, creating innovative solutions for healthcare and agriculture.","Others","Technology & Innovation","Jalan Parameswara, Bandar Hilir, 78000 Alor Gajah, Malacca, Malaysia
","80000000","Malacca City","Malaysia","Malacca","78292X","4/2/2022","Operational","11-50","Crowdfunded","Early","Series A","6/9/2023","Infinite Crest"," $ 47,000,000,000,000.00 "
"35","NextWave Communications","NextWave Communications offers innovative telecommunications services, enhancing connectivity and communication.","B2B","Technology & Innovation","5-11, Jalan Kuning, Taman Sri Pelangi, 18432 Johor Bahru, Johor","84000000","Johor Bahru","Malaysia","Johor","16133P","2/9/2019","Operational","11-50","Crowdfunded","Early","Seed","7/21/2021","Catalyst Ventures"," $ 32,000,000,000,000.00 "
"35","NextWave Communications","NextWave Communications offers innovative telecommunications services, enhancing connectivity and communication.","B2B","Technology & Innovation","5-11, Jalan Kuning, Taman Sri Pelangi, 18432 Johor Bahru, Johor","84000000","Johor Bahru","Malaysia","Johor","16133P","2/9/2019","Operational","11-50","Crowdfunded","Early","Seed","5/6/2022","Lumina Capital"," $ 66,000,000,000,000.00 "
"1","NovaTech Solutions","NovaTech Solutions specializes in innovative software development and IT consulting, providing cutting-edge solutions for businesses worldwide.","B2B","Technology & Innovation","5-11, Jalan Kuning, Taman Sri Pelangi, 18432 Johor Bahru, Johor","10000000","Johor Bahru","Malaysia","Johor","61662H","8/1/2021","Operational","11-50","Crowdfunded","Early","Seed","1/3/2023","Pioneer Voyage"," $ 1,000,000,000,000.00 "
"1","NovaTech Solutions","NovaTech Solutions specializes in innovative software development and IT consulting, providing cutting-edge solutions for businesses worldwide.","B2B","Technology & Innovation","5-11, Jalan Kuning, Taman Sri Pelangi, 18432 Johor Bahru, Johor","10000000","Johor Bahru","Malaysia","Johor","61662H","8/1/2021","Operational","11-50","Crowdfunded","Early","Seed","1/9/2022","Nova Ventures"," $ 18,000,000,000,000.00 "
"38","OptiHealth Solutions","OptiHealth Solutions provides personalized health and wellness programs, using advanced analytics to optimize individual health.","B2C","Healthcare & Education"," Block E, Unit 28, 3rd Floor, KK Times Square, 88100 Kota Kinabalu, Sabah, Malaysia.","41000000","Kota Kinabalu","Malaysia","Sabah","49894X","7/19/2019","Operational","2-10","Crowdfunded","Early","Seed","10/13/2023","Pioneer Ventures"," $ 71,000,000,000,000.00 "
"38","OptiHealth Solutions","OptiHealth Solutions provides personalized health and wellness programs, using advanced analytics to optimize individual health.","B2C","Healthcare & Education"," Block E, Unit 28, 3rd Floor, KK Times Square, 88100 Kota Kinabalu, Sabah, Malaysia.","41000000","Kota Kinabalu","Malaysia","Sabah","49894X","7/19/2019","Operational","2-10","Crowdfunded","Early","Seed","4/25/2023","Nova Forge"," $ 91,000,000,000,000.00 "
"75","Pelangi Education","Pelangi Education is revolutionizing the retail landscape with unique market integrations and consumer-focused technologies.","Others","Retail & Marketplace","100 Persiaran Gurney","35000000","Penang","Malaysia","Penang","54982P","7/26/2021","Operational","2-10","Venture Capital","Early","Series B","6/22/2023","Pioneer Ventures"," $ 71,000,000,000,000.00 "
"68","Pelangi Finance","Pelangi Finance is redefining logistics and infrastructure with smart, scalable solutions that drive efficiency.","Others","Logistics & Infrastructure","200 Jalan KK Bypass","25000000","Penang","Malaysia","Penang","50631Y","11/1/2022","Operational","2-10","Venture Capital","Early","Seed","4/7/2023","Nex Ventures"," $ 36,000,000,000,000.00 "
"68","Pelangi Finance","Pelangi Finance is redefining logistics and infrastructure with smart, scalable solutions that drive efficiency.","Others","Logistics & Infrastructure","200 Jalan KK Bypass","25000000","Penang","Malaysia","Penang","50631Y","11/1/2022","Operational","2-10","Venture Capital","Early","Seed","5/15/2023","Catalyst Forge"," $ 69,000,000,000,000.00 "
"68","Pelangi Finance","Pelangi Finance is redefining logistics and infrastructure with smart, scalable solutions that drive efficiency.","Others","Logistics & Infrastructure","200 Jalan KK Bypass","25000000","Penang","Malaysia","Penang","50631Y","11/1/2022","Operational","2-10","Venture Capital","Early","Seed","2/5/2023","Nova Horizons"," $ 75,000,000,000,000.00 "
